,id,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,host_days_active,verification_count,property_type_category,bathrooms_type,amenities_count
4455,34640460,2015-10-15,3,2,3,0,5,1,1,1,53.35898,-6.25309,16,0,2.0,2,1.0,1.0,928,95.0,60.0,122.0,22.0,10.0,0.0,2019-05-27,4.77,4.73,4.64,4.95,4.86,4.55,4.73,0,9.0,9.0,0.0,0.0,0.55,2523.0,1,0,3,260
4456,34641213,2013-11-03,4,1,3,0,1,1,1,1,53.359566,-6.255786,40,2,2.0,7,1.0,1.0,5503,103.0,1.0,1125.0,29.0,12.0,0.0,2019-06-24,4.76,4.93,4.72,4.86,4.93,4.86,4.72,1,1.0,0.0,1.0,0.0,0.74,3234.0,2,3,7,6
4457,34648897,2019-03-28,1,4,3,0,1,1,1,2,53.4925569505988,-6.20113,40,2,2.0,4,1.0,1.0,2304,30.0,1.0,1125.0,0.0,0.0,0.0,,4.603238846835222,4.776713229252243,4.645670391061431,4.828653182042404,4.8437469186524025,4.732065449761524,4.614546800460579,0,1.0,0.0,1.0,0.0,1.3190062812046988,1263.0,2,3,4,259
4458,34660496,2015-09-21,1,4,3,0,1,1,1,1,53.31987,-6.25254,13,0,6.0,5,4.0,4.0,2081,200.0,7.0,1125.0,1.0,0.0,0.0,2019-05-17,2.288915265867955,4.776713229252243,4.645670391061431,4.828653182042404,4.8437469186524025,4.732065449761524,4.614546800460579,0,1.0,1.0,0.0,0.0,0.02,2547.0,2,0,5,259
4459,34672971,2016-10-07,4,3,1,0,1,1,1,1,53.34987,-6.25274,57,3,1.0,4,1.0,1.0,2952,86.0,1.0,14.0,228.88497850198831,66.62614730882797,7.1321923032480665,2019-05-17,4.6,4.79,4.66,4.86,4.81,4.84,4.62,1,3.0,0.0,1.0,2.0,7.285079511326536,2165.0,2,2,4,212
4460,34680667,2015-10-15,3,2,3,0,5,1,1,1,53.35952,-6.25306,16,0,2.0,2,1.0,1.0,902,85.0,14.0,140.0,28.0,13.0,0.0,2019-05-27,4.43,4.68,4.57,4.71,4.57,4.46,4.29,0,9.0,9.0,0.0,0.0,0.7,2523.0,1,0,3,218
4461,34687372,2019-04-16,1,4,3,0,1,1,1,3,53.29572,-6.29666,16,0,5.0,2,1.0,3.0,4382,84.0,1.0,28.0,94.0,0.0,0.0,2019-05-25,4.98,4.99,4.96,5.0,5.0,4.82,4.94,0,1.0,1.0,0.0,0.0,2.34,1244.0,2,0,3,616
4462,34691862,2015-10-15,3,2,3,0,5,1,1,1,53.35723,-6.25298,16,0,2.0,2,1.0,1.0,927,90.0,27.0,122.0,55.0,15.0,1.0,2019-06-14,4.56,4.84,4.75,4.96,4.89,4.55,4.38,0,9.0,9.0,0.0,0.0,1.39,2523.0,1,0,3,244
4463,34692075,2015-10-15,3,2,3,0,5,1,1,1,53.35935,-6.25371,16,0,2.0,2,1.0,1.0,902,141.0,27.0,122.0,22.0,5.0,0.0,2019-07-14,4.41,4.64,4.59,4.82,4.82,4.55,4.32,0,9.0,9.0,0.0,0.0,0.57,2523.0,1,0,3,218
4464,34699297,2016-10-07,4,3,1,0,1,1,1,1,53.3496,-6.25208,57,3,1.0,4,1.0,1.0,2953,94.0,1.0,14.0,99.0,52.0,3.0,2019-05-30,4.61,4.78,4.67,4.85,4.84,4.66,4.52,1,3.0,0.0,1.0,2.0,2.47,2165.0,2,2,4,198
4465,34699872,2016-10-07,4,3,1,0,1,1,1,1,53.35151,-6.25046,38,2,8.671544170113124,4,1.0,5.895590181708249,2903,865.0,1.0,14.0,15.0,11.0,0.0,2019-07-30,4.93,4.8,4.93,5.0,5.0,4.93,5.0,1,3.0,0.0,1.0,2.0,0.39,2165.0,2,3,4,190
4466,34705888,2019-04-17,1,4,3,0,1,1,0,1,53.34125,-6.23618,40,2,2.0,4,1.0,1.0,1714,50.0,1.0,1125.0,17.0,0.0,0.0,2019-05-23,4.18,4.41,4.06,4.24,4.12,4.47,4.47,1,1.0,0.0,1.0,0.0,0.42,1243.0,2,3,4,168
4467,34733733,2019-05-15,4,1,3,0,1,1,1,1,53.35161,-6.27056,17,0,7.0,7,2.0,5.0,5026,560.0,1.0,180.0,9.0,4.0,4.0,2019-06-07,4.78,5.0,4.89,5.0,4.89,4.78,4.78,1,8.0,8.0,0.0,0.0,0.23,1215.0,2,0,7,469
4468,34734986,2019-05-10,1,4,3,0,5,1,1,1,53.35867,-6.23627,13,0,5.0,2,2.0,3.0,5275,500.0,2.0,1125.0,0.0,0.0,0.0,,4.603238846835222,4.776713229252243,4.645670391061431,4.828653182042404,4.8437469186524025,4.732065449761524,4.614546800460579,0,1.0,1.0,0.0,0.0,1.3190062812046988,1220.0,1,0,3,386
4469,34736280,2016-11-06,1,4,3,0,0,1,1,0,53.29409,-6.1494,18,0,6.0,7,2.0,3.0,4788,219.0,2.0,90.0,117.0,55.0,3.0,2019-08-19,4.65,4.83,4.63,4.89,4.88,4.92,4.61,0,1.0,1.0,0.0,0.0,3.13,2135.0,3,0,7,735
