id,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,host_days_active,verification_count,property_type_category,bathrooms_type,amenities_count,review_mean
42071200,2015-01-18,1,4,3,0,1,1,1,1,53.32322,-6.24372,37,2,2.0,4,1.0,1.0,2278,80.0,1.0,1125.0,1.0,0.0,0.0,2020-02-15,2.288915265867955,4.776713229252243,4.645670391061431,4.828653182042404,4.8437469186524025,4.732065449761524,4.614546800460579,1,1.0,0.0,1.0,0.0,0.03,2793.0,2,3,4,218,0.1
42085967,2019-04-09,2,1,3,0,1,1,1,0,53.27691,-6.15682,41,2,2.0,3,1.0,1.8325749464668093,3621,83.0,2.0,1125.0,48.0,39.0,6.0,2020-03-12,4.67,4.71,4.83,4.81,4.75,4.54,4.69,0,1.0,0.0,1.0,0.0,1.57,1251.0,2,3,3,768,0.0945683510922492
42112784,2016-05-03,2,2,2,0,1,1,1,1,53.33194,-6.23774,14,0,4.0,5,1.0,1.0,2593,145.0,14.0,1125.0,1.0,0.0,0.0,2020-02-11,5.0,5.0,4.0,5.0,5.0,5.0,5.0,0,12.0,12.0,0.0,0.0,0.03,2322.0,2,0,5,176,0.0625
42164310,2020-02-09,1,4,3,0,1,1,0,1,53.33839,-6.28717,26,2,2.0,2,1.0,1.0,160,65.0,1.0,14.0,1.0,0.0,0.0,2020-02-23,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,1.0,0.0,1.0,0.0,0.03,945.0,2,3,3,378,0.0333333333333333
42174191,2019-03-01,3,2,2,0,1,1,1,3,53.28503,-6.42517,40,2,1.0,3,1.0,1.0,4805,35.0,1.0,1125.0,2.0,2.0,2.0,2022-08-20,5.0,4.5,5.0,5.0,5.0,4.5,5.0,0,1.0,0.0,1.0,0.0,2.0,1290.0,2,3,3,441,0.0591379310344827
42185596,2016-07-18,1,4,3,0,0,1,1,1,53.32716,-6.2454,40,2,2.0,6,1.0,1.0,1572,68.0,2.0,14.0,2.0,0.0,0.0,2020-03-01,5.0,5.0,4.0,5.0,5.0,5.0,5.0,0,1.0,0.0,1.0,0.0,0.06,2246.0,3,3,6,218,0.1714285714285714
42215550,2020-02-11,4,2,3,0,1,1,1,1,53.32738,-6.23273,47,0,2.0,2,1.5239777204184215,1.0,2886,429.0,3.0,30.0,31.0,7.0,0.0,2020-03-17,4.77,4.9,4.94,4.81,4.77,4.97,4.65,0,2.0,2.0,0.0,0.0,1.02,943.0,2,1,3,499,0.1098219178158783
42217864,2020-02-11,4,2,3,0,1,1,1,1,53.32805,-6.23148,47,0,2.0,2,1.5239777204184215,1.0,2840,389.0,3.0,1125.0,19.0,8.0,0.0,2020-08-14,4.53,4.37,4.68,4.63,4.26,4.74,4.37,0,2.0,2.0,0.0,0.0,0.75,943.0,2,1,3,463,0.2190938181864122
42235463,2016-01-07,4,1,1,0,1,1,0,1,53.32337,-6.2379,13,0,5.0,7,3.0,3.0,6193,350.0,10.0,1125.0,1.0,1.0,1.0,2022-08-23,5.0,3.5672808323160057,4.0,5.0,5.0,5.0,5.0,0,1.0,1.0,0.0,0.0,1.0,2439.0,2,0,7,740,0.2
42279971,2017-09-19,4,1,2,0,1,1,0,3,53.28139,-6.42764,16,0,2.0,2,1.0,1.0,2180,89.0,2.0,1125.0,7.0,1.0,0.0,2020-02-29,5.0,5.0,4.86,5.0,5.0,5.0,5.0,1,1.0,1.0,0.0,0.0,0.23,1818.0,2,0,3,266,0.1529097779097779
42318907,2015-09-29,1,4,3,0,1,1,0,2,53.44949,-6.16323,13,0,8.0,5,4.0,5.0,2519,140.0,2.0,14.0,1.0,0.0,0.0,2020-03-17,5.0,5.0,5.0,4.0,4.0,5.0,4.0,0,1.0,1.0,0.0,0.0,0.03,2539.0,2,0,5,222,0.1111111111111111
42323789,2016-04-16,1,4,3,0,1,1,1,1,53.35612,-6.24142,40,2,2.0,6,1.0,1.0,2665,65.0,1.0,1125.0,1.0,0.0,0.0,2020-03-12,4.0,5.0,5.0,5.0,5.0,4.0,5.0,1,1.0,0.0,1.0,0.0,0.03,2339.0,2,3,6,153,0.0769230769230769
42382291,2016-11-25,1,4,3,0,1,1,1,1,53.34176,-6.2637,16,0,3.0,2,1.0,3.0,464,51.0,60.0,90.0,5.0,0.0,0.0,2020-02-22,4.8,5.0,4.8,4.8,4.8,5.0,4.4,1,1.0,1.0,0.0,0.0,0.16,2116.0,2,0,3,178,0.2366666666666666
42396322,2019-03-21,4,1,2,0,1,1,1,1,53.38846,-6.27899,37,2,2.0,4,1.0,1.0,3204,68.0,4.0,1125.0,16.0,14.0,3.0,2020-03-04,4.63,4.75,3.88,5.0,4.81,4.56,4.75,1,4.0,0.0,4.0,0.0,0.52,1270.0,2,3,4,664,0.1604574033598277
42432880,2013-08-19,1,4,3,0,0,1,1,1,53.35341,-6.23122,44,2,2.0,4,1.0,1.0,2451,70.0,1.0,60.0,2.0,0.0,0.0,2020-02-21,2.288915265867955,4.776713229252243,4.645670391061431,4.828653182042404,4.8437469186524025,4.732065449761524,4.614546800460579,0,1.0,0.0,1.0,0.0,0.06,3310.0,3,3,4,310,0.1
42450724,2018-07-03,3,1,2,0,1,1,0,1,53.36742,-6.17653,37,2,2.0,5,1.0,1.0,3786,130.0,2.0,5.0,18.0,18.0,5.0,2022-03-20,4.89,4.89,4.94,4.94,4.94,4.94,4.78,0,1.0,0.0,1.0,0.0,3.05,1531.0,2,3,5,484,0.0910713094028029
42482009,2015-08-05,4,1,3,1,5,1,0,0,53.30066,-6.1832,37,2,2.0,3,1.0,1.0,1054,60.0,2.0,5.0,45.0,39.0,1.0,2020-03-03,4.84,4.91,4.98,4.98,4.91,4.8,4.82,0,1.0,0.0,1.0,0.0,1.46,2594.0,1,3,3,192,0.1365550005604867
42502397,2010-09-14,4,1,3,0,1,1,1,1,53.33366,-6.25883,13,0,8.0,11,3.0,5.895590181708249,4734,325.0,2.0,1125.0,18.0,5.0,0.0,2020-02-25,4.38,4.56,4.56,3.88,4.5,4.94,4.25,1,31.0,25.31341984003077,1.0,0.0,0.58,4380.0,2,0,11,543,0.094033238999061
42529815,2018-04-20,2,2,2,0,1,1,1,3,53.35394,-6.444601763230419,31,2,1.0,3,1.0,1.8325749464668093,1195,85.0,1.0,1125.0,6.0,5.0,0.0,2020-03-06,4.33,4.0,4.17,4.67,4.17,4.33,3.83,0,1.0,0.0,1.0,0.0,0.2,1605.0,2,3,3,269,0.1985780423280423
42562547,2016-10-18,1,4,3,0,0,1,0,1,53.3332,-6.31763,13,0,2.0,2,1.0,1.0,4267,40.0,1.0,1125.0,2.0,0.0,0.0,2020-02-28,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,1.0,1.0,0.0,0.0,0.06,2154.0,3,0,3,528,0.0596670247046186
42578982,2020-02-24,4,3,1,0,5,1,1,1,53.3408,-6.2652,51,2,2.0,2,1.0,1.0,3268,328.0,1.0,1125.0,228.88497850198831,66.62614730882797,7.0,2020-03-10,4.55,4.71,4.73,4.6,4.54,4.89,4.31,1,1.0,0.0,1.0,0.0,7.285079511326536,930.0,1,1,3,243,0.1787561515491575
42595519,2019-07-12,4,1,3,1,1,1,1,2,53.38956,-6.41411,26,2,2.0,4,1.0,1.0,5576,58.0,2.0,7.0,15.0,12.0,2.0,2021-08-22,4.93,4.93,4.87,5.0,5.0,4.67,4.8,0,1.0,0.0,1.0,0.0,1.17,1157.0,2,3,4,926,0.0939994801800463
42605117,2015-03-29,3,1,3,1,1,1,1,1,53.32003,-6.25185,16,0,2.0,2,1.0,1.0,1275,110.0,28.0,180.0,9.0,6.0,1.0,2020-11-01,5.0,5.0,4.78,4.89,5.0,5.0,4.56,0,3.0,3.0,0.0,0.0,0.4,2723.0,2,0,3,310,0.0418660073834534
42622163,2016-02-12,1,4,3,0,1,1,1,3,53.28722,-6.35537,40,2,2.0,6,1.0,1.0,865,64.0,1.0,4.0,1.0,0.0,0.0,2020-03-16,5.0,5.0,5.0,5.0,5.0,5.0,4.0,0,1.0,0.0,1.0,0.0,0.03,2403.0,2,3,6,105,0.0238095238095238
42640903,2012-07-16,3,1,0,0,1,1,1,1,53.34481,-6.24909,13,0,2.0,2,2.0,2.0,2578,150.0,30.0,40.0,13.0,5.0,0.0,2020-03-16,5.0,4.92,4.92,5.0,5.0,4.92,5.0,0,1.0,1.0,0.0,0.0,0.43,3709.0,2,0,3,344,0.0873703594391961
42641650,2018-04-18,1,4,3,0,0,1,1,1,53.35007,-6.27318,40,2,2.0,7,1.0,1.0,5070,55.0,4.0,1125.0,1.0,0.0,0.0,2020-03-10,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,1.0,0.0,1.0,0.0,0.03,1607.0,3,3,7,462,0.0278637770897832
42687498,2016-04-20,1,4,3,0,1,1,1,2,53.39324,-6.37733,31,2,2.0,5,1.0,1.0,4865,44.0,1.0,14.0,1.0,0.0,0.0,2020-03-19,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,5.0,0.0,5.0,0.0,0.03,2335.0,2,3,5,424,0.0714285714285714
42715098,2014-02-07,4,3,3,1,1,1,0,1,53.3264,-6.27376,16,0,1.0,2,1.5239777204184215,1.0,5084,68.0,14.0,1125.0,25.0,13.0,1.0,2020-04-24,4.8,4.76,4.36,4.96,4.84,4.84,4.64,0,20.0,20.0,0.0,0.0,0.86,3138.0,2,0,3,466,0.1501429467657327
42750053,2018-01-06,3,1,1,0,1,1,1,1,53.40094,-6.26389,17,0,4.0,7,2.0,2.0,4692,406.0,7.0,90.0,3.0,3.0,1.0,2022-06-10,4.67,4.67,4.67,5.0,5.0,5.0,5.0,0,1.0,1.0,0.0,0.0,0.95,1709.0,2,0,7,523,0.1324123753725974
42768116,2016-05-23,3,1,3,1,1,1,1,1,53.36551,-6.31747,37,2,2.0,3,1.0,1.0,569,127.0,2.0,10.0,37.0,37.0,3.0,2021-09-12,5.0,5.0,5.0,5.0,5.0,4.89,4.92,0,1.0,0.0,1.0,0.0,3.03,2302.0,2,3,3,310,0.0724942463138489
42776639,2018-08-23,4,1,3,1,1,1,1,1,53.34393,-6.27793,16,0,6.0,2,3.0,3.0,1433,390.0,6.0,1125.0,59.0,43.0,3.0,2020-08-02,4.86,4.85,4.9,4.88,4.88,4.85,4.64,0,2.0,2.0,0.0,0.0,2.29,1480.0,2,0,3,372,0.1061813521705505
42783282,2016-06-15,4,3,1,0,1,1,1,1,53.35603,-6.26343,9,0,2.0,2,1.5239777204184215,1.0,5733,86.0,1.0,7.0,122.0,66.62614730882797,6.0,2021-04-04,4.67,4.86,4.71,4.97,4.92,4.64,4.58,0,17.0,17.0,0.0,0.0,6.94,2279.0,2,0,3,757,0.1267088703570125
